bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 12,genre,description
12249,The New Testament,Richmond Lattimore,4.32,0865475245,9780865475243,eng,608,109,23,10/30/1997,North Point Press,,"Bible, criticism, interpretation, etc., n. t.",No Description
30651,The Art of Loving by Erich Fromm: A True Story of a Japanese Woman,Lala Okamoto,1.67,4990327500,9784990327507,eng,227,3,2,10/31/2006,Intercultural Publishing,,,A True Story of a Japanese Woman
30639,Mere Christianity: Abolition of Man (Bonus Feature),C.S. Lewis/Geoffrey Howard/Robert Whitefield/Robert Whitfield,4.32,0786174366,9780786174362,eng,6,43,6,05-01-2006,Blackstone Audiobooks,,"Apologetics, Doctrinal Theology, Popular works, Christianity, Christian ethics",No Description
30633,The Four Loves,C.S. Lewis,4.14,0006280897,9780006280897,en-US,170,34681,1084,06-05-2002,HarperCollins Publishers Ltd,,"Love (Theology), Love, Religious aspects of Love, Aspectos religiosos, Christianity",No Description
12240,The Play Soldier,Chet Green,4.5,159113644X,9781591136446,eng,328,2,2,5/22/2011,Booklocker.com  Inc.,,,No Description
30622,The Collected Letters of C.S. Lewis  Volume 1: Family Letters  1905-1931,C.S. Lewis/Walter Hooper,4.36,0060727632,9780060727635,eng,1072,121,21,6/29/2004,HarperOne,,"Correspondence, Christian converts, English Authors, Scholars, Literary historians",Includes bibliographical references and indexes.
12248,Return to Ithaca (Tales from the Odyssey  #5),Mary Pope Osborne/Troy Howell,4.14,0786809930,9780786809936,eng,112,280,19,10-01-2004,Little  Brown Books for Young Readers,,"Odysseus (Greek mythology), Juvenile literature, Greek Mythology, Odysseus (greek mythology), juvenile literature, Odysseus (greek mythology)",Return to Ithaca - Book #5 (Tales from the Odyssey)
12254,The Iliad,Homer/Robert Fagles/Derek Jacobi,3.86,0143059289,9780143059288,eng,8,42,7,6/15/2006,Penguin-HighBridge,,"great_books_of_the_western_world, Poetry, Fiction, Classical literature, Open Library Staff Picks",No Description
30635,C. S. Lewis: Life  Works  and Legacy,Bruce L. Edwards/Diana Pavlac Glyer,4.43,0275991164,9780275991166,eng,1416,6,0,4/30/2007,Praeger,,"Criticism and interpretation, Lewis, c. s. (clive staples), 1898-1963, English drama, history and criticism, 20th century, LITERARY CRITICISM, European","Life, Works, and Legacy (Praeger Perspectives)"
30634,What Christians Believe,C.S. Lewis,4.24,0060761539,9780060761530,en-US,98,566,73,2/22/2005,HarperOne,,"Apologetics, Doctrinal Theology, Popular works, Theology, doctrinal, popular works",No Description
30645,The Art of Listening,Erich Fromm/Rainer Funk,4.12,0826411320,9780826411327,en-US,204,290,16,09-01-1998,Bloomsbury Academic,,"Psychoanalysis, Listening, Psychological aspects, Psychological aspects of Listening, Psychoanalytic interpretation",No Description
12274,Saint Joan,George Bernard Shaw/Dan H. Laurence/Imogen Stubbs,3.8,0140437916,9780140437911,eng,160,5966,211,1/25/2001,Penguin Classics,,"Drama, English drama, British and irish drama (dramatic works by one author), In fiction, drama, poetry, Christian women saints",Bibliography: p. xxv-xxix.
12256,The Iliad  Books 8-9 (Classical Texts Series),Homer/Charles H. Wilson,4.5,0856686271,9780856686276,grc,224,4,1,12-01-1996,Aris and Phillips,,"Odysseus (Greek mythology), Greeks, Poetry, Classical literature, Poesía","Includes bibliographical references and index.

Greek and English on opposite pages."
30646,Beyond the Chains of Illusion: My Encounter with Marx and Freud,Erich Fromm/Rainer Funk,4.07,082641897X,9780826418975,eng,152,285,20,12/17/2006,Bloomsbury / Continuum,,"Social psychology, Psychotherapy, Freudian Theory, Political Systems, Psychology",My Encounter With Marx And Freud (Continuum Impacts)
